talk	O
a	O
little	O
bit	O
about	O
customs	O
and	O
quarantine	O
,	O
a	O
little	O
bit	O
about	O
having	O
consistent	O
security	O
arrangements	O
around	O
the	O
region	O
,	O
Harcourt	B-per
said	O
.	O
And	O
I	O
think	O
they	O
'll	O
want	O
a	O
one-stop	O
shop	O
in	O
terms	O
of	O
combining	O
security	O
,	O
immigration	O
,	O
customs	O
,	O
and	O
quarantine	O
together	O
?	O
just	O
to	O
make	O
sure	O
it	O
's	O
more	O
streamlined	O
and	O
provides	O
more	O
certainty	O
.	O
ABAC	B-org
is	O
the	O
only	O
non-governmental	O
body	O
that	O
has	O
an	O
official	O
role	O
and	O
formal	O
dialogue	O
with	O
the	O
leaders	O
of	O
the	O
APEC	B-org
economies	O
.	O
It	O
will	O
present	O
its	O
annual	O
report	O
at	O
the	O
APEC	B-org
leaders	O
meeting	O
on	O
Saturday	B-time
.	O
Sudan	B-gpe
's	O
government	O
says	O
it	O
will	O
order	O
troops	O
to	O
end	O
attacks	O
immediately	O
in	O
Darfur	B-geo
,	O
and	O
is	O
asking	O
rebels	O
to	O
do	O
the	O
same	O
.	O
Foreign	B-per
Minister	I-per
Mustafa	I-per
Osman	I-per
Ismail	I-per
says	O
Sudanese	B-gpe
troops	O
will	O
also	O
withdraw	O
to	O
positions	O
held	O
before	O
an	O
April	B-time
cease-fire	O
,	O
if	O
rebels	O
in	O
the	O
western	O
region	O
agree	O
to	O
stop	O
attacks	O
.	O
Mr.	B-per
Ismail	I-per
announced	O
the	O
decision	O
after	O
meeting	O
with	O
officials	O
from	O
the	O
United	B-org
Nations	I-org
and	O
African	B-org
Union	I-org
in	O
Khartoum	B-geo
Sunday	B-time
.	O
In	O
recent	O
weeks	O
,	O
AU	B-org
officials	O
say	O
Sudanese	B-gpe
troops	O
and	O
rebels	O
have	O
repeatedly	O
violated	O
the	O
April	B-time
truce	O
.	O
Saturday	B-time
,	O
the	O
head	O
of	O
AU	B-org
forces	O
in	O
Darfur	B-geo
accused	O
Sudanese	B-gpe
government	O
helicopters	O
of	O
bombing	O
rebel	O
sites	O
in	O
the	O
South	B-geo
Darfur	I-geo
village	O
of	O
Labado	B-geo
.	O
Khartoum	B-gpe
says	O
troops	O
were	O
defending	O
their	O
positions	O
from	O
rebel	O
attacks	O
.	O
Aid	O
workers	O
say	O
some	O
relief	O
efforts	O
have	O
been	O
suspended	O
in	O
South	B-geo
Darfur	I-geo
due	O
to	O
recent	O
attacks	O
.	O
Indonesian	B-gpe
police	O
have	O
arrested	O
three	O
men	O
in	O
connection	O
with	O
the	O
October	B-time
1	I-time
Bali	B-geo
bombings	O
that	O
left	O
23	O
people	O
dead	O
.	O
Indonesian	B-gpe
police	O
said	O
Wednesday	B-time
the	O
men	O
were	O
flown	O
to	O
Bali	B-geo
from	O
neighboring	O
Java	B-geo
island	O
for	O
questioning	O
at	O
Bali	B-geo
police	O
headquarters	O
.	O
Australian	B-gpe
and	O
French	B-gpe
news	O
agencies	O
say	O
at	O
least	O
one	O
of	O
the	O
men	O
arrested	O
(	O
Cholily	B-per
)	O
was	O
captured	O
during	O
a	O
series	O
of	O
counter-terrorism	O
raids	O
last	O
week	O
in	O
Indonesia	B-geo
.	O
The	O
